date,n_valid_pixels,n_fire_pixels_label,conf_max,conf_mean,conf_p90,t21_max,t21_mean,t21_p90,n_conf_ge_30,n_conf_ge_50,n_conf_ge_60,n_conf_ge_70,n_conf_ge_80,n_t21_ge_325,n_t21_ge_350,n_t21_ge_375,n_both_conf60_t21325,n_both_conf70_t21350
2020-12-14,1217568,275,86.0,60.70909118652344,78.0,329.70001220703125,309.0549011230469,322.8999938964844,269,227,155,55,24,14,0,0,14,0
2020-12-15,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2020-12-16,1217568,59,72.0,52.6875,72.0,315.6000061035156,308.091552734375,315.6000061035156,44,24,16,10,0,0,0,0,0,0
2020-12-17,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2020-12-18,1217568,137,80.0,64.19708251953125,77.0,320.20001220703125,309.6481628417969,316.8999938964844,137,112,95,49,4,0,0,0,0,0
2020-12-19,1217568,116,86.0,65.02586364746094,81.0,339.6000061035156,311.696533203125,320.8999938964844,116,93,58,54,21,11,0,0,11,0
2020-12-20,1217568,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2020-12-21,1217568,127,94.0,63.88976287841797,94.0,346.20001220703125,316.500732421875,344.20001220703125,116,88,72,53,46,42,0,0,42,0
2020-12-22,1217568,60,62.0,41.83333206176758,62.0,305.6000061035156,302.8550109863281,305.6000061035156,58,10,10,0,0,0,0,0,0,0
2020-12-23,1217568,135,98.0,64.45185089111328,91.0,355.8999938964844,313.4992370605469,337.6000061035156,125,116,84,46,30,22,11,0,22,11
2020-12-24,1217568,18,60.0,50.88888931274414,60.0,304.79998779296875,302.4888916015625,304.79998779296875,18,10,4,0,0,0,0,0,0,0
2020-12-25,1217568,18,67.0,54.55555725097656,67.0,306.20001220703125,303.9778137207031,306.20001220703125,18,10,10,0,0,0,0,0,0,0
2020-12-26,1217568,20,97.0,90.80000305175781,97.0,353.1000061035156,341.2950134277344,353.1000061035156,20,20,20,20,17,14,10,0,14,10
2020-12-27,1217568,19,88.0,64.36842346191406,88.0,334.3999938964844,311.8526306152344,334.3999938964844,19,19,9,5,4,4,0,0,4,0
2020-12-28,1217568,395,99.0,56.17534255981445,76.0,358.5,309.12152099609375,317.2599792480469,316,258,166,96,20,27,11,0,27,11
